Mozilla/5.0 (Linux; Android 9.0; LG Isai VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Ace 3 I679) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/110.0.4447.38
Mozilla/5.0 (Linux; Android 12; Alcatel Idol 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 11; Keneksi SoloKeneksi Solo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 10; Infinix Smart 3 PlusInfinix Smart 3 Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy Tab A7 LiteSamsung Galaxy Tab A7 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 11; Vivo X6S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 13; Kyocera Urbano ProgressoKyocera Urbano Progresso) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/118.0.4447.38
Mozilla/5.0 (Linux; Android 12; Wiko View 2 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/104.0.4447.38
Mozilla/5.0 (Linux; Android 10; Samsung SGH-T919) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia go) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/107.0.4447.38
Mozilla/5.0 (Linux; Android 11; LG E300) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 13; ZTE Overture) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy On5 2016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/106.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Gigabyte GSmart MS808Gigabyte GSmart MS808) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 10; Archos Access 50 Color 3G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/105.0.4447.38
Mozilla/5.0 (Linux; Android 12; Huawei Ascend Y600 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Wiko Sunny Max) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 13; Gigabyte GSmart t600Gigabyte GSmart t600) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 12; Nokia G300) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 13; Motorola Moto Z2 Force Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/102.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Nokia 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 10; LG MS500) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Hisense A5 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Alcatel 2005D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Huawei MatePad Pro 10.8 WiFiHuawei MatePad Pro 10.8 WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy J5 SM-J500FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Overmax Vertis 4501 YouOvermax Vertis 4501 You) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 9.0; I Kall Z1I Kall Z1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 11; Lenovo K8 Plus Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 12; ZTE Prelude 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/96.0.0.0
Mozilla/5.0 (Linux; Android 12; Motorola Atrix HD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 13; i-mobile IQ 5.6A) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.2987.108 UCBrowser/108 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy S III La Fleur) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Xolo B700Xolo B700) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.2987.108 UCBrowser/107 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; Wiko Sunny 5 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Intex Cloud C1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 13; Sony Xperia Z3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 12; Sony Xperia NX SO-02D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 12; POCO M2 ReloadedPOCO M2 Reloaded) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 11; Karbonn Mobiles A6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia XZ1 Compact) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 13; Micromax A94) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Karbonn Mobiles A240) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Intex aqua X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Motorola P30 Note Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/113.0.0.0
